  Sredni czas 1 :10.8568
   Sredni czas 5:23.9288
   Sredni czas 6:189.581
Kanal 1:0.483696
Kanal 2:0.452498
Kanal 3:0.338712
Kanal 4:0.210483
max czas oczekiwania:4551.87
dzwigi:0.158662
jachty:0.515383
prowadnice:0.493116
rampy:0.31804
tasmociagi:0.59282
Koniec:0.045
  Sredni czas 1 :11.2476
  Sredni czas 2 :11.8006
  Sredni czas 3 :13.2654
   Sredni czas 4:11.8635
   Sredni czas 5:24.8589
   Sredni czas 6:188.288
Kanal 1:0.481895
Kanal 2:0.453076
Kanal 3:0.338799
Kanal 4:0.207506
max czas oczekiwania:5011.69
dzwigi:0.153629
jachty:0.556379
prowadnice:0.493318
rampy:0.30515
tasmociagi:0.580138
Koniec:0.045
  Sredni czas 1 :12.1653
  Sredni czas 2 :11.7123
  Sredni czas 3 :13.544
   Sredni czas 4:10.8749
   Sredni czas 5:28.0119
   Sredni czas 6:232.342
Kanal 1:0.47794
Kanal 2:0.450257
Kanal 3:0.33705
Kanal 4:0.205844
max czas oczekiwania:6576.39
dzwigi:0.163779
jachty:0.517303
prowadnice:0.482218
rampy:0.315483
tasmociagi:0.576176
Koniec:0.045
  Sredni czas 1 :12.5412
  Sredni czas 2 :12.2328
  Sredni czas 3 :13.99
   Sredni czas 4:12.2572
   Sredni czas 5:27.9867
   Sredni czas 6:190.982
Kanal 1:0.478751
Kanal 2:0.4529
Kanal 3:0.337402
Kanal 4:0.205947
max czas oczekiwania:2621.78
dzwigi:0.165039
jachty:0.539773
prowadnice:0.488502
rampy:0.316993
tasmociagi:0.594465
Koniec:0.045
  Sredni czas 1 :12.9457
  Sredni czas 2 :13.2792
  Sredni czas 3 :14.2259
   Sredni czas 4:13.0314
   Sredni czas 5:28.4226
   Sredni czas 6:262.437
Kanal 1:0.497925
Kanal 2:0.470752
Kanal 3:0.360847
Kanal 4:0.226245
max czas oczekiwania:4821.85
dzwigi:0.16843
jachty:0.563
prowadnice:0.516765
rampy:0.325436
tasmociagi:0.603459
Koniec:0.0475
  Sredni czas 1 :14.4821
  Sredni czas 2 :15.9873
  Sredni czas 3 :15.7637
   Sredni czas 4:13.9031
   Sredni czas 5:36.0026
   Sredni czas 6:390.663
Kanal 1:0.496925
Kanal 2:0.472464
Kanal 3:0.362734
Kanal 4:0.238959
max czas oczekiwania:7047.89
dzwigi:0.164537
jachty:0.557322
prowadnice:0.531607
rampy:0.30838
tasmociagi:0.641822
Koniec:0.0475
  Sredni czas 1 :12.9701
  Sredni czas 2 :14.1201
  Sredni czas 3 :15.2707
   Sredni czas 4:13.5976
   Sredni czas 5:31.2079
   Sredni czas 6:244.799
Kanal 1:0.495974
Kanal 2:0.467833
Kanal 3:0.361672
Kanal 4:0.233967
max czas oczekiwania:4059.86
dzwigi:0.167821
jachty:0.545238
prowadnice:0.519234
rampy:0.343987
tasmociagi:0.600958
Koniec:0.0475
  Sredni czas 1 :11.6975
  Sredni czas 2 :11.8271
  Sredni czas 3 :13.7314
   Sredni czas 4:12.0219
   Sredni czas 5:26.2302
   Sredni czas 6:180.561
Kanal 1:0.497012
Kanal 2:0.471747
Kanal 3:0.355532
Kanal 4:0.233235
max czas oczekiwania:6137.5
dzwigi:0.168789
jachty:0.542588
prowadnice:0.524633
rampy:0.329963
tasmociagi:0.576828
Koniec:0.0475
  Sredni czas 1 :12.1206
  Sredni czas 2 :11.7922
  Sredni czas 3 :13.0505
   Sredni czas 4:12.8
   Sredni czas 5:26.563
   Sredni czas 6:208.939
Kanal 1:0.49809
Kanal 2:0.470296
Kanal 3:0.35714
Kanal 4:0.232032
max czas oczekiwania:6734.73
dzwigi:0.166351
jachty:0.566215
prowadnice:0.526225
rampy:0.327991
tasmociagi:0.594745
Koniec:0.0475
  Sredni czas 1 :13.3792
  Sredni czas 2 :13.1873
  Sredni czas 3 :14.5107
   Sredni czas 4:13.2289
   Sredni czas 5:29.5112
   Sredni czas 6:216.204
Kanal 1:0.497232
Kanal 2:0.478613
Kanal 3:0.360319
Kanal 4:0.229184
max czas oczekiwania:2914.15
dzwigi:0.165025
jachty:0.535367
prowadnice:0.524132
rampy:0.324185
tasmociagi:0.6213
Koniec:0.0475
  Sredni czas 1 :12.3472
  Sredni czas 2 :13.3602
  Sredni czas 3 :14.3187
   Sredni czas 4:13.8219
   Sredni czas 5:28.7947
   Sredni czas 6:240.295
Kanal 1:0.494836
Kanal 2:0.47169
Kanal 3:0.366308
Kanal 4:0.237248
max czas oczekiwania:5701.68
dzwigi:0.159855
jachty:0.56103
prowadnice:0.530874
rampy:0.33386
tasmociagi:0.602706
Koniec:0.0475
  Sredni czas 1 :12.2031
  Sredni czas 2 :12.3919
  Sredni czas 3 :13.6088
   Sredni czas 4:12.3232
   Sredni czas 5:25.941
   Sredni czas 6:206.428
Kanal 1:0.495069
Kanal 2:0.47031
Kanal 3:0.360572
Kanal 4:0.229753
max czas oczekiwania:3085.61
dzwigi:0.169545
jachty:0.548539
prowadnice:0.510688
rampy:0.326857
tasmociagi:0.611235
Koniec:0.0475
  Sredni czas 1 :12.9694
  Sredni czas 2 :13.6042
  Sredni czas 3 :14.1746
   Sredni czas 4:12.7373
   Sredni czas 5:26.067
   Sredni czas 6:205.892
Kanal 1:0.494576
Kanal 2:0.469161
Kanal 3:0.35817
Kanal 4:0.22976
max czas oczekiwania:2775.35
dzwigi:0.161701
jachty:0.581937
prowadnice:0.506659
rampy:0.334676
tasmociagi:0.609661
Koniec:0.0475
  Sredni czas 1 :10.9738
  Sredni czas 2 :12.1999
  Sredni czas 3 :11.6884
   Sredni czas 4:11.0688
   Sredni czas 5:31.6069
   Sredni czas 6:170.722
Kanal 1:0.497448
Kanal 2:0.472445
Kanal 3:0.356966
Kanal 4:0.228208
max czas oczekiwania:3116.1
dzwigi:0.172266
jachty:0.560159
prowadnice:0.51468
rampy:0.31613
tasmociagi:0.593595
Koniec:0.0475
  Sredni czas 1 :12.1538
  Sredni czas 2 :12.296
  Sredni czas 3 :13.5491
   Sredni czas 4:12.0428
   Sredni czas 5:31.3838
   Sredni czas 6:242.354
Kanal 1:0.509926
Kanal 2:0.490095
Kanal 3:0.38097
Kanal 4:0.250838
max czas oczekiwania:6607.34
dzwigi:0.180628
jachty:0.566871
prowadnice:0.537648
rampy:0.344028
tasmociagi:0.6189
Koniec:0.05
  Sredni czas 1 :14.6415
  Sredni czas 2 :14.9748
  Sredni czas 3 :16.8073
   Sredni czas 4:14.784
   Sredni czas 5:30.6941
   Sredni czas 6:296.637
Kanal 1:0.50868
Kanal 2:0.487641
Kanal 3:0.37814
Kanal 4:0.257408
max czas oczekiwania:6620.78
dzwigi:0.179516
jachty:0.610073
prowadnice:0.51962
rampy:0.338765
tasmociagi:0.660775
Koniec:0.05
  Sredni czas 1 :14.5894
  Sredni czas 2 :13.3073
  Sredni czas 3 :15.3429
   Sredni czas 4:13.239
   Sredni czas 5:41.4464
   Sredni czas 6:255.284
Kanal 1:0.514366
Kanal 2:0.491211
Kanal 3:0.382479
Kanal 4:0.255852
max czas oczekiwania:5808.62
dzwigi:0.174964
jachty:0.596403
prowadnice:0.549787
rampy:0.340003
tasmociagi:0.638955
Koniec:0.05
  Sredni czas 1 :15.525
  Sredni czas 2 :15.8041
  Sredni czas 3 :17.7894
   Sredni czas 4:16.6765
   Sredni czas 5:43.0114
   Sredni czas 6:324.991
Kanal 1:0.513707
Kanal 2:0.492355
Kanal 3:0.389326
Kanal 4:0.274448
max czas oczekiwania:9944.17
dzwigi:0.172758
jachty:0.550174
prowadnice:0.572252
rampy:0.340823
tasmociagi:0.681748
Koniec:0.05
  Sredni czas 1 :12.567
  Sredni czas 2 :12.9664
  Sredni czas 3 :13.9225
   Sredni czas 4:11.7952
   Sredni czas 5:35.0831
   Sredni czas 6:179.768
Kanal 1:0.511419
Kanal 2:0.486675
Kanal 3:0.386101
Kanal 4:0.258581
max czas oczekiwania:3531.19
dzwigi:0.172819
jachty:0.582295
prowadnice:0.555766
rampy:0.345101
tasmociagi:0.598363
Koniec:0.05
